,0,1,2,3,4,5,6,7,accuracy,macro avg,weighted avg
precision,0.38,0.6382978723404256,0.43829787234042555,0.24719101123595505,0.8934324659231723,0.5269121813031161,0.275,0.3829787234042553,0.6602631578947369,0.4727637658184187,0.7032250612694677
recall,0.43846153846153846,0.6626506024096386,0.5228426395939086,0.6111111111111112,0.7467633350595546,0.5478645066273933,0.46808510638297873,0.9473684210526315,0.6602631578947369,0.6181434075873444,0.6602631578947369
f1-score,0.40714285714285714,0.6502463054187192,0.47685185185185186,0.352,0.813540197461213,0.5371841155234657,0.3464566929133858,0.5454545454545454,0.6602631578947369,0.5161095707207548,0.6753397891462868
support,130.0,498.0,394.0,36.0,1931.0,679.0,94.0,38.0,0.6602631578947369,3800.0,3800.0
